agent_id,ari,accuracy,n_obs,dominant_regime
agent_0000,0.333194,0.638,2000,stable
agent_0001,0.329333,0.6385,2000,stable
agent_0002,0.342378,0.6425,2000,stable
agent_0003,0.347762,0.6495,2000,stable
agent_0004,0.322854,0.6465,2000,stable
agent_0005,0.337087,0.6475,2000,stable
agent_0006,0.355406,0.6455,2000,stable
agent_0007,0.347813,0.6435,2000,stable
agent_0008,0.335296,0.6485,2000,stable
agent_0009,0.324973,0.632,2000,stable
agent_0010,0.332042,0.6425,2000,stable
agent_0011,0.325251,0.6365,2000,stable
agent_0012,0.356729,0.6485,2000,stable
agent_0013,0.336122,0.6355,2000,stable
agent_0014,0.339729,0.654,2000,stable
agent_0015,0.341467,0.63,2000,stable
agent_0016,0.336124,0.642,2000,stable
agent_0017,0.317384,0.624,2000,stable
agent_0018,0.374197,0.67,2000,stable
agent_0019,0.33901,0.6265,2000,stable
