agent_id,mean_latency,median_latency,n_transitions,n_detected,detection_rate
agent_0000,0.024193548387096774,0.0,124,124,1.0
agent_0001,0.01639344262295082,0.0,122,122,1.0
agent_0002,0.20833333333333334,0.0,120,120,1.0
agent_0003,0.7890625,0.0,128,126,0.984375
agent_0004,0.3125,0.0,112,112,1.0
agent_0005,0.14423076923076922,0.0,104,104,1.0
agent_0006,0.008264462809917356,0.0,121,121,1.0
agent_0007,0.15037593984962405,0.0,133,133,1.0
agent_0008,0.43410852713178294,0.0,129,129,1.0
agent_0009,0.5081967213114754,0.0,122,122,1.0
agent_0010,0.36363636363636365,0.0,121,121,1.0
agent_0011,0.17073170731707318,0.0,123,123,1.0
agent_0012,0.44696969696969696,0.0,132,132,1.0
agent_0013,0.007633587786259542,0.0,131,131,1.0
agent_0014,0.5048543689320388,0.0,103,103,1.0
agent_0015,0.03875968992248062,0.0,129,129,1.0
agent_0016,0.5241935483870968,0.0,124,123,0.9919354838709677
agent_0017,0.42063492063492064,0.0,126,125,0.9920634920634921
agent_0018,0.5128205128205128,0.0,117,117,1.0
agent_0019,0.203125,0.0,128,128,1.0
