from_regime,to_regime,mean_magnitude,std_magnitude,n_transitions
adaptive,exploratory,81.53498391812403,57.67596098694738,819
adaptive,stable,83.23294986564265,59.43284879801823,2522
adaptive,unstable,94.39321006751314,64.07732891494766,796
exploratory,adaptive,83.55958991089273,58.674853206687004,2572
exploratory,stable,86.07609823982283,62.174467743288396,395
exploratory,unstable,91.96704347547018,61.9267047226371,885
stable,adaptive,81.04744384047642,58.46429962753766,750
stable,exploratory,84.65109784159574,59.23096041650092,2201
stable,unstable,101.55109674258976,68.611794673141,768
unstable,adaptive,86.38778119052685,61.48810953742259,816
unstable,exploratory,86.55739750776144,60.188646002477356,830
unstable,stable,87.01626227833864,60.41304350028681,807
