agent_id,push_stable_frac,push_exploratory_frac,do_nothing_frac,mean_policy_entropy,mean_value
agent_0000,0.44,0.3,0.26,0.40519532360784816,12.54869618915605
agent_0001,0.44,0.3,0.26,0.4062096844057394,12.483503019529348
agent_0002,0.47,0.22,0.31,0.40074197359624764,12.575961670138698
agent_0003,0.5,0.27,0.23,0.4062829713121767,12.569138684510929
agent_0004,0.52,0.2,0.28,0.41017438057837224,12.538563254979733
agent_0005,0.47,0.29,0.24,0.4095681861681848,12.540064583117834
agent_0006,0.5,0.24,0.26,0.4154515113253697,12.474311572852466
agent_0007,0.54,0.27,0.19,0.3865393873860715,12.733802776042225
agent_0008,0.46,0.28,0.26,0.42698603247517186,12.467924458419622
agent_0009,0.48,0.28,0.24,0.4042190722249742,12.723733647059738
agent_0010,0.51,0.29,0.2,0.3861234712671976,12.618569564255017
agent_0011,0.49,0.28,0.23,0.3941797122433042,12.49930888351818
agent_0012,0.47,0.29,0.24,0.40468469849269384,12.566281524727328
agent_0013,0.51,0.3,0.19,0.37672263977623743,12.616569904225747
agent_0014,0.42,0.32,0.26,0.40004819964885807,12.515884271262196
agent_0015,0.53,0.22,0.25,0.3884816507789877,12.548250771866146
agent_0016,0.52,0.25,0.23,0.42083736708479647,12.36356402216893
agent_0017,0.42,0.31,0.27,0.39542114026596875,12.416781500683646
agent_0018,0.52,0.25,0.23,0.39101080924556747,12.555758569479817
agent_0019,0.54,0.24,0.22,0.40270678939507654,12.373369437808078
