episode,transition_entropy
0,0.9623283242328728
1,0.8934490609418002
2,0.9846046478369974
3,0.9104663043314358
4,0.9192939742950239
5,0.9053605010598869
6,0.8699612721434438
7,0.8575744547304297
8,0.9210605228886336
9,0.8479584591669312
10,0.9515478012348628
11,0.9052837765810414
12,0.9553439625555171
13,0.8968464617966256
14,0.9197686663885836
15,0.8740248883897028
16,0.8557208499177091
17,0.8391374711576505
18,0.9126836888074107
19,0.8133561593516195
20,0.9317306708794217
21,0.8967576857819756
22,0.9417977531257445
23,0.900195600824245
24,0.9333907768238009
25,0.8799995323833129
26,0.8421881831507543
27,0.8527288924029054
28,0.9100751896463627
29,0.8162474628120018
