min_covar,restart,ll_per_obs,n_iter,em_converged,health_ok,kept,is_winner,max_condition_number,min_eigenvalue,N,T,seed,covariance_type
0.01,0,-1.250537945865696,68,True,True,True,False,52.5169369260666,0.0019103935925115164,10,1000,42,full
0.01,1,-1.2455796624298718,72,True,True,True,True,40.17934369971697,0.001242975265784922,10,1000,42,full
0.01,2,-1.2505379478301215,71,True,True,True,False,52.517055039064765,0.0019104045321599976,10,1000,42,full
0.01,3,-1.245579850420212,81,True,True,True,False,40.20076647853434,0.0012439764536710234,10,1000,42,full
0.01,4,-1.2505379465445017,70,True,True,True,False,52.5169778771806,0.0019103973855656288,10,1000,42,full
0.01,5,-1.2505379494887952,77,True,True,True,False,52.51715386395859,0.0019104136848359517,10,1000,42,full
0.01,6,-1.2505379504594305,64,True,True,True,False,52.51721132505717,0.0019104190077875748,10,1000,42,full
0.01,7,-1.2505378498992197,66,True,True,True,False,52.503412751018374,0.0019091399911282856,10,1000,42,full
0.01,8,-1.2505379466870166,73,True,True,True,False,52.516986453930116,0.0019103981800032664,10,1000,42,full
0.01,9,-1.250537949071609,62,True,True,True,False,52.51712911921769,0.0019104113986962172,10,1000,42,full
0.001,0,-1.2505379453882275,68,True,True,True,False,52.51690804103853,0.0019103909170812468,10,1000,42,full
0.001,1,-1.2455796631771399,72,True,True,True,False,40.17865638078484,0.0012429432099250088,10,1000,42,full
0.001,2,-1.2505379476451313,71,True,True,True,False,52.517043966632016,0.0019104035066104465,10,1000,42,full
0.001,3,-1.245579850130263,81,True,True,True,False,40.20075068609726,0.0012439757141578394,10,1000,42,full
0.001,4,-1.2505379514232218,69,True,True,True,False,52.51726811250568,0.001910424267600804,10,1000,42,full
0.001,5,-1.2505379494226487,77,True,True,True,False,52.51714993896616,0.0019104133213025943,10,1000,42,full
0.001,6,-1.2505379514569959,64,True,True,True,False,52.517270095316476,0.001910424451024669,10,1000,42,full
0.001,7,-1.2505378480958351,68,True,True,True,False,52.504561029738,0.0019092464890289472,10,1000,42,full
0.001,8,-1.250537946435038,73,True,True,True,False,52.5169712817475,0.001910396774709715,10,1000,42,full
0.001,9,-1.2505379495490099,62,True,True,True,False,52.517157472470636,0.001910414024760863,10,1000,42,full
0.0001,0,-1.2505379453388905,68,True,True,True,False,52.51690505260274,0.0019103906402822654,10,1000,42,full
0.0001,1,-1.2455796632871123,72,True,True,True,False,40.17857930986992,0.0012429396156719583,10,1000,42,full
0.0001,2,-1.2505379476260312,71,True,True,True,False,52.51704282267116,0.0019104034006551473,10,1000,42,full
0.0001,3,-1.245579857983312,80,True,True,True,False,40.20117417486062,0.0012439955456331384,10,1000,42,full
0.0001,4,-1.250537951177392,69,True,True,True,False,52.51725365466191,0.0019104229285454527,10,1000,42,full
0.0001,5,-1.2505379494156574,77,True,True,True,False,52.51714952391846,0.0019104132828614345,10,1000,42,full
0.0001,6,-1.2505379515549722,64,True,True,True,False,52.517275851831414,0.0019104249841840515,10,1000,42,full
0.0001,7,-1.2505378482374083,68,True,True,True,False,52.50439950709388,0.0019092315081926832,10,1000,42,full
0.0001,8,-1.2505379464089506,73,True,True,True,False,52.51696971002131,0.0019103966291327587,10,1000,42,full
0.0001,9,-1.2505379495988482,62,True,True,True,False,52.517160428688726,0.001910414298563225,10,1000,42,full
0.01,0,-1.2422589744641321,100,True,True,True,False,41.019916020161055,0.0013137661037057385,10,1000,43,full
0.01,1,-1.2440578603043653,66,True,True,True,False,53.16917648005901,0.0018647802734501283,10,1000,43,full
0.01,2,-1.2440578652407506,61,True,True,True,False,53.16956059112428,0.0018648051264062674,10,1000,43,full
0.01,3,-1.2440578610854944,64,True,True,True,False,53.1692379919402,0.001864784253686551,10,1000,43,full
0.01,4,-1.244057864789456,64,True,True,True,False,53.169525924528855,0.001864802883641567,10,1000,43,full
