K,state,n_obs,dominant_regime,purity,self_transition,label
4,0,41684,stable,0.9791,0.7755,stable-core
4,1,76804,exploratory,0.5728,0.6852,exploratory
4,2,70104,unstable,0.7227,0.8063,unstable
4,3,61408,stable,0.5277,0.656,stable-boundary
5,0,51379,stable,0.6393,0.6405,stable-boundary
5,1,27315,exploratory,0.4136,0.461,exploratory-boundary
5,2,57188,unstable,0.8848,0.7455,unstable
5,3,37551,stable,0.9867,0.7704,stable-core
5,4,76567,exploratory,0.528,0.6891,exploratory-core
6,0,31846,stable,0.8949,0.5761,stable-boundary
6,1,24521,exploratory,0.3807,0.3985,exploratory-boundary
6,2,62398,exploratory,0.6264,0.6215,exploratory-core
6,3,26640,stable,0.9983,0.7647,stable-core
6,4,55965,unstable,0.9038,0.7381,unstable
6,5,48630,adaptive,0.5133,0.5394,adaptive
