N,T,mean_condition,pct_reliable,pct_fallback
5,500,45.42930546315853,100.0,0.0
5,1000,43.496759047719664,100.0,0.0
5,2000,41.106507969321754,100.0,0.0
5,5000,40.52792484752613,100.0,0.0
10,500,47.815448948567536,100.0,0.0
10,1000,40.37507241215008,100.0,0.0
10,2000,38.995932618682374,100.0,0.0
10,5000,39.145933473605695,100.0,0.0
20,500,47.98295847120883,100.0,0.0
20,1000,42.03632430939378,100.0,0.0
20,2000,39.62506303302181,100.0,0.0
20,5000,41.39246554011934,100.0,0.0
50,500,43.28828771899791,100.0,0.0
50,1000,42.376397919781326,100.0,0.0
50,2000,40.21592735852006,100.0,0.0
50,5000,38.923692444626646,100.0,0.0
