N,T,seed,mae_diag
5,500,42,0.11008780019951572
5,500,43,0.09170732942146538
5,500,44,0.08502682198332431
5,500,45,0.08250631719203297
5,500,46,0.09469495234044728
5,500,47,0.052656635954922676
5,500,48,0.055829159945386966
5,500,49,0.09640526835308691
5,500,50,0.09758242672375453
5,500,51,0.08091656608902895
5,1000,42,0.09309303319936799
5,1000,43,0.0894197344583274
5,1000,44,0.07253547463895293
5,1000,45,0.057061424279692984
5,1000,46,0.0820109826919104
5,1000,47,0.07742644250383807
5,1000,48,0.0636368851242903
5,1000,49,0.10045763554468615
5,1000,50,0.06372836738982109
5,1000,51,0.07481298387067448
5,2000,42,0.07382151400434589
5,2000,43,0.08598492953506279
5,2000,44,0.10226270651176392
5,2000,45,0.103056952433257
5,2000,46,0.1033321522477382
5,2000,47,0.10503915869775818
5,2000,48,0.10278419138527486
5,2000,49,0.07626994474491591
5,2000,50,0.0989161904264175
5,2000,51,0.10097380825742872
5,5000,42,0.08745506510735802
5,5000,43,0.07992650695554734
5,5000,44,0.10436619071550768
5,5000,45,0.10399035250088293
5,5000,46,0.0637772760911634
5,5000,47,0.10453888583706089
5,5000,48,0.08269910960424906
5,5000,49,0.07209656954614556
5,5000,50,0.10362124484978433
5,5000,51,0.10491291858959861
10,500,42,0.04742130147983321
10,500,43,0.0768152159180076
10,500,44,0.08086315920775483
10,500,45,0.05666674020957745
10,500,46,0.07653525919916662
10,500,47,0.0565859064400425
10,500,48,0.07975876603654838
10,500,49,0.1058576329233174
10,500,50,0.10838112667459002
10,500,51,0.09216997918226963
10,1000,42,0.057029453922377064
10,1000,43,0.07962859325230619
10,1000,44,0.10326042427400539
10,1000,45,0.0568615102581208
10,1000,46,0.059714336600947646
10,1000,47,0.10257735377643742
10,1000,48,0.08202622755747674
10,1000,49,0.0634900677688412
10,1000,50,0.10351159903681648
10,1000,51,0.08100742968658045
10,2000,42,0.08238154181136634
10,2000,43,0.06809124926286225
10,2000,44,0.10115694222471089
10,2000,45,0.10130316693853017
10,2000,46,0.10257679550947063
10,2000,47,0.10182500644129516
10,2000,48,0.05945842552841841
10,2000,49,0.10166502643180572
10,2000,50,0.054116282805499204
10,2000,51,0.053391435114905114
10,5000,42,0.10395693134087824
10,5000,43,0.08114939988732994
10,5000,44,0.10396110126803279
10,5000,45,0.10405830816929107
10,5000,46,0.10443361805094242
10,5000,47,0.05077950818217918
10,5000,48,0.10351875705733099
10,5000,49,0.04915737625851335
10,5000,50,0.08414728977369718
10,5000,51,0.10395801064625892
20,500,42,0.0717256423137184
20,500,43,0.08706755716891934
20,500,44,0.10592906407811603
20,500,45,0.06635968690227896
20,500,46,0.08622796920953772
20,500,47,0.056630586083328834
20,500,48,0.10268635471376375
20,500,49,0.10335174244005618
20,500,50,0.1047862958969182
20,500,51,0.09037936113776651
20,1000,42,0.06478973641001337
20,1000,43,0.08299863792090038
20,1000,44,0.10415145489371569
20,1000,45,0.05119954973536092
20,1000,46,0.10331312719959224
20,1000,47,0.10215207343989993
20,1000,48,0.0812475627588828
20,1000,49,0.102807657097708
20,1000,50,0.0882257683596856
20,1000,51,0.08855800209586726
20,2000,42,0.10198673811462822
20,2000,43,0.1024481074927498
20,2000,44,0.05496016033225422
20,2000,45,0.08419962426462946
20,2000,46,0.072392373154202
20,2000,47,0.10290457724867785
20,2000,48,0.08359484926708349
20,2000,49,0.05420081952723661
20,2000,50,0.053675967204292414
20,2000,51,0.08749470036479409
20,5000,42,0.07257849887713638
20,5000,43,0.1035420401956654
20,5000,44,0.08241342318637691
20,5000,45,0.10313137816657209
20,5000,46,0.08152934043206175
20,5000,47,0.05632829682893394
20,5000,48,0.0846303784398608
20,5000,49,0.10339224630293095
20,5000,50,0.1036295214522791
20,5000,51,0.05583122465268861
50,500,42,0.10208898951198922
50,500,43,0.10182301790200529
50,500,44,0.10161430991479778
50,500,45,0.04810193020188801
50,500,46,0.10163243854770806
50,500,47,0.07352038126807339
50,500,48,0.08265662893432288
50,500,49,0.10287680257998619
50,500,50,0.06707437537399982
50,500,51,0.10336164717271046
50,1000,42,0.10371714240758978
50,1000,43,0.10359668168877548
50,1000,44,0.08267533165670352
50,1000,45,0.10390659859819612
50,1000,46,0.10372970230799033
50,1000,47,0.10371578339399146
50,1000,48,0.0528423225385742
50,1000,49,0.08441017802267356
50,1000,50,0.10402541291673087
50,1000,51,0.08517074556851131
50,2000,42,0.08867609676900534
50,2000,43,0.05531286747709736
50,2000,44,0.10240412302407534
50,2000,45,0.10268131568111497
50,2000,46,0.051569621319315424
50,2000,47,0.05584108180913842
50,2000,48,0.08553309280326218
50,2000,49,0.10303539372029921
50,2000,50,0.04936963105366654
50,2000,51,0.10305398821597414
50,5000,42,0.05770725691882438
50,5000,43,0.10344099077243377
50,5000,44,0.06687657135601928
50,5000,45,0.10370552203642075
50,5000,46,0.10386133207570943
50,5000,47,0.10388279807456378
50,5000,48,0.05846626500965345
50,5000,49,0.10387529264304735
50,5000,50,0.05799721513329074
50,5000,51,0.10391121887596821
